B1 F03 AB 9206 - N FL 03 Area B Int Int Backi,31
B1 F03 AB 9250 - N FL 03 Area B Int Drywall H,248
B1 F03 AB 9270 - N FL 03 Area B Int Firetape ,90
B1 F03 AB 9280 - N FL 03 Area B Int Tape Wall,192
B1 F03 AE 5390 - N FL 03 Area A Ext Ext ,4
B1 F03 AE 5400 - N FL 03 Area A Ext Ext Frame,51
B1 F03 AE 5450 - N FL 03 Area A Ext Sheathing,35
B1 F03 AE 7100 - N FL 03 Area A Ext Ext Insul,28
B1 F03 AE 9250 - N FL 03 Area A Ext Drywall H,49
B1 F03 AE 9265 - N FL 03 Area A Ext Ext Firet,35
B1 F03 AE 9270 - N FL 03 Area A Ext Firetape ,13
B1 F03 AE 9280 - N FL 03 Area A Ext Tape Wall,28
B1 F03 AF 5390 - N FL 03 Area B Ext Ext ,5
B1 F03 AF 5400 - N FL 03 Area B Ext Ext Frame,55
B1 F03 AF 5450 - N FL 03 Area B Ext Sheathing,37
B1 F03 AF 7100 - N FL 03 Area B Ext Ext Insul,30
B1 F03 AF 9201 - N FL 03 Area B Ext Int Frame,12
B1 F03 AF 9250 - N FL 03 Area B Ext Drywall H,46
B1 F03 AF 9265 - N FL 03 Area B Ext Ext Firet,37
B1 F03 AF 9270 - N FL 03 Area B Ext Firetape ,14
B1 F03 AF 9280 - N FL 03 Area B Ext Tape Wall,31
B1 F04 AA 5400 - N FL 04 Area A Int Ext Frame,16
B1 F04 AA 7200 - N FL 04 Area A Int Int Insul,80
B1 F04 AA 9200 - N FL 04 Area A Int Int Layou,20
B1 F04 AA 9201 - N FL 04 Area A Int Int Frame,198
B1 F04 AA 9202 - N FL 04 Area A Int Int Top T,58
B1 F04 AA 9203 - N FL 04 Area A Int Int Shaft,12
B1 F04 AA 9206 - N FL 04 Area A Int Int Backi,40
B1 F04 AA 9250 - N FL 04 Area A Int Drywall H,419
B1 F04 AA 9270 - N FL 04 Area A Int Firetape ,110
B1 F04 AA 9280 - N FL 04 Area A Int Tape Wall,265
B1 F04 AB 5400 - N FL 04 Area B Int Ext Frame,8
B1 F04 AB 7200 - N FL 04 Area B Int Int Insul,57
B1 F04 AB 9200 - N FL 04 Area B Int Int Layou,15
B1 F04 AB 9201 - N FL 04 Area B Int Int Frame,164
B1 F04 AB 9202 - N FL 04 Area B Int Int Top T,42
B1 F04 AB 9206 - N FL 04 Area B Int Int Backi,30
B1 F04 AB 9250 - N FL 04 Area B Int Drywall H,234
B1 F04 AB 9270 - N FL 04 Area B Int Firetape ,85
B1 F04 AB 9280 - N FL 04 Area B Int Tape Wall,181
B1 F04 AE 5390 - N FL 04 Area A Ext Ext ,4
B1 F04 AE 5400 - N FL 04 Area A Ext Ext Frame,51
B1 F04 AE 5450 - N FL 04 Area A Ext Sheathing,35
B1 F04 AE 7100 - N FL 04 Area A Ext Ext Insul,28
B1 F04 AE 9250 - N FL 04 Area A Ext Drywall H,49
B1 F04 AE 9265 - N FL 04 Area A Ext Ext Firet,35
B1 F04 AE 9270 - N FL 04 Area A Ext Firetape ,13
B1 F04 AE 9280 - N FL 04 Area A Ext Tape Wall,29
B1 F04 AF 5390 - N FL 04 Area B Ext Ext ,5
B1 F04 AF 5400 - N FL 04 Area B Ext Ext Frame,55
B1 F04 AF 5450 - N FL 04 Area B Ext Sheathing,37
B1 F04 AF 7100 - N FL 04 Area B Ext Ext Insul,30
B1 F04 AF 9201 - N FL 04 Area B Ext Int Frame,21
B1 F04 AF 9250 - N FL 04 Area B Ext Drywall H,46
B1 F04 AF 9265 - N FL 04 Area B Ext Ext Firet,37
B1 F04 AF 9270 - N FL 04 Area B Ext Firetape ,14
B1 F04 AF 9280 - N FL 04 Area B Ext Tape Wall,31
B2 F01 AC 5400 - S FL 01 Area C Int Ext Frame,44
B2 F01 AC 7200 - S FL 01 Area C Int Int Insul,93
B2 F01 AC 9200 - S FL 01 Area C Int Int Layou,25
B2 F01 AC 9201 - S FL 01 Area C Int Int Frame,109
B2 F01 AC 9202 - S FL 01 Area C Int Int Top T,72
