build,floor,area,hour,full,label
Building 2 South,Floor 03,Area D,313,B2 F03 AD 9250 - S FL 03 Area D Int Drywall H,Drywall H
Building 2 South,Floor 03,Area D,54,B2 F03 AD 9270 - S FL 03 Area D Int Firetape ,Firetape
Building 2 South,Floor 03,Area D,189,B2 F03 AD 9280 - S FL 03 Area D Int Tape Wall,Tape Wall
Building 2 South,Floor 03,Area D Exterior,59,B2 F03 AH 5400 - S FL 03 Area D Ext Ext Frame,Ext Frame
Building 2 South,Floor 03,Area D Exterior,40,B2 F03 AH 5450 - S FL 03 Area D Ext Sheathing,Sheathing
Building 2 South,Floor 03,Area D Exterior,32,B2 F03 AH 7100 - S FL 03 Area D Ext Ext Insul,Ext Insul
Building 2 South,Floor 03,Area D Exterior,4,B2 F03 AH 9201 - S FL 03 Area D Ext Int Frame,Int Frame
Building 2 South,Floor 03,Area D Exterior,57,B2 F03 AH 9250 - S FL 03 Area D Ext Drywall H,Drywall H
Building 2 South,Floor 03,Area D Exterior,40,B2 F03 AH 9265 - S FL 03 Area D Ext Ext Firet,Ext Firet
Building 2 South,Floor 03,Area D Exterior,15,B2 F03 AH 9270 - S FL 03 Area D Ext Firetape ,Firetape
Building 2 South,Floor 03,Area D Exterior,33,B2 F03 AH 9280 - S FL 03 Area D Ext Tape Wall,Tape Wall
Building 2 South,Floor 04,Area C,24,B2 F04 AC 5400 - S FL 04 Area C Int Ext Frame,Ext Frame
Building 2 South,Floor 04,Area C,103,B2 F04 AC 7200 - S FL 04 Area C Int Int Insul,Int Insul
Building 2 South,Floor 04,Area C,28,B2 F04 AC 9200 - S FL 04 Area C Int Int Layou,Int Layou
Building 2 South,Floor 04,Area C,240,B2 F04 AC 9201 - S FL 04 Area C Int Int Frame,Int Frame
Building 2 South,Floor 04,Area C,80,B2 F04 AC 9202 - S FL 04 Area C Int Int Top T,Int Top T
Building 2 South,Floor 04,Area C,23,B2 F04 AC 9203 - S FL 04 Area C Int Int Shaft,Int Shaft
Building 2 South,Floor 04,Area C,56,B2 F04 AC 9206 - S FL 04 Area C Int Int Backi,Int Backi
Building 2 South,Floor 04,Area C,586,B2 F04 AC 9250 - S FL 04 Area C Int Drywall H,Drywall H
Building 2 South,Floor 04,Area C,189,B2 F04 AC 9270 - S FL 04 Area C Int Firetape ,Firetape
Building 2 South,Floor 04,Area C,309,B2 F04 AC 9280 - S FL 04 Area C Int Tape Wall,Tape Wall
Building 2 South,Floor 04,Area C Exterior,4,B2 F04 AG 5390 - S FL 04 Area C Ext Ext ,Ext
Building 2 South,Floor 04,Area C Exterior,47,B2 F04 AG 5400 - S FL 04 Area C Ext Ext Frame,Ext Frame
Building 2 South,Floor 04,Area C Exterior,32,B2 F04 AG 5450 - S FL 04 Area C Ext Sheathing,Sheathing
Building 2 South,Floor 04,Area C Exterior,26,B2 F04 AG 7100 - S FL 04 Area C Ext Ext Insul,Ext Insul
Building 2 South,Floor 04,Area C Exterior,43,B2 F04 AG 9250 - S FL 04 Area C Ext Drywall H,Drywall H
Building 2 South,Floor 04,Area C Exterior,32,B2 F04 AG 9265 - S FL 04 Area C Ext Ext Firet,Ext Firet
Building 2 South,Floor 04,Area C Exterior,12,B2 F04 AG 9270 - S FL 04 Area C Ext Firetape ,Firetape
Building 2 South,Floor 04,Area C Exterior,27,B2 F04 AG 9280 - S FL 04 Area C Ext Tape Wall,Tape Wall
Building 2 South,Floor 04,Area D,8,B2 F04 AD 5400 - S FL 04 Area D Int Ext Frame,Ext Frame
Building 2 South,Floor 04,Area D,47,B2 F04 AD 7200 - S FL 04 Area D Int Int Insul,Int Insul
Building 2 South,Floor 04,Area D,12,B2 F04 AD 9200 - S FL 04 Area D Int Int Layou,Int Layou
Building 2 South,Floor 04,Area D,113,B2 F04 AD 9201 - S FL 04 Area D Int Int Frame,Int Frame
Building 2 South,Floor 04,Area D,34,B2 F04 AD 9202 - S FL 04 Area D Int Int Top T,Int Top T
Building 2 South,Floor 04,Area D,5,B2 F04 AD 9203 - S FL 04 Area D Int Int Shaft,Int Shaft
Building 2 South,Floor 04,Area D,24,B2 F04 AD 9206 - S FL 04 Area D Int Int Backi,Int Backi
Building 2 South,Floor 04,Area D,314,B2 F04 AD 9250 - S FL 04 Area D Int Drywall H,Drywall H
Building 2 South,Floor 04,Area D,52,B2 F04 AD 9270 - S FL 04 Area D Int Firetape ,Firetape
Building 2 South,Floor 04,Area D,193,B2 F04 AD 9280 - S FL 04 Area D Int Tape Wall,Tape Wall
Building 2 South,Floor 04,Area D Exterior,5,B2 F04 AH 5390 - S FL 04 Area D Ext Ext ,Ext
Building 2 South,Floor 04,Area D Exterior,123,B2 F04 AH 5400 - S FL 04 Area D Ext Ext Frame,Ext Frame
Building 2 South,Floor 04,Area D Exterior,41,B2 F04 AH 5450 - S FL 04 Area D Ext Sheathing,Sheathing
Building 2 South,Floor 04,Area D Exterior,32,B2 F04 AH 7100 - S FL 04 Area D Ext Ext Insul,Ext Insul
Building 2 South,Floor 04,Area D Exterior,3,B2 F04 AH 9201 - S FL 04 Area D Ext Int Frame,Int Frame
Building 2 South,Floor 04,Area D Exterior,57,B2 F04 AH 9250 - S FL 04 Area D Ext Drywall H,Drywall H
Building 2 South,Floor 04,Area D Exterior,41,B2 F04 AH 9265 - S FL 04 Area D Ext Ext Firet,Ext Firet
Building 2 South,Floor 04,Area D Exterior,15,B2 F04 AH 9270 - S FL 04 Area D Ext Firetape ,Firetape
Building 2 South,Floor 04,Area D Exterior,33,B2 F04 AH 9280 - S FL 04 Area D Ext Tape Wall,Tape Wall
Building 3,Roof,Exterior,3,B3 F05 Ext 5390 - Roof Ext Frame Layout,Ext Frame Layout
Building 3,Roof,Exterior,69,B3 F05 Ext 5400 - Roof Ext Frame Material,Ext Frame Material
Building 3,Roof,Exterior,23,B3 F05 Ext 5450 - Roof Sheathing Material,Sheathing Material
Building 3,Roof,Exterior,18,B3 F05 Ext 7100 - Roof Ext Insulation Material,Ext Insulation Material
Building 3,Roof,Exterior,36,B3 F05 Ext 9250 - Roof Drywall Hang Material,Drywall Hang Material
Building 3,Roof,Exterior,23,B3 F05 Ext 9265 - Roof Ext Firetape ,Ext Firetape
Building 3,Roof,Exterior,8,B3 F05 Ext 9270 - Roof Firetape ,Firetape
Building 3,Roof,Exterior,19,B3 F05 Ext 9280 - Roof Tape Walls ,Tape Walls
Building 3,Roof,Interior,6,B3 F05 Int 5400 - Roof Ext Frame Material,Ext Frame Material
Building 3,Roof,Interior,9,B3 F05 Int 7200 - Roof Int Insulation Material,Int Insulation Material
Building 3,Roof,Interior,2,B3 F05 Int 9200 - Roof Int Layout,Int Layout
Building 3,Roof,Interior,8,B3 F05 Int 9201 - Roof Int Frame Material,Int Frame Material
Building 3,Roof,Interior,5,B3 F05 Int 9202 - Roof Int Top Track Material,Int Top Track Material
Building 3,Roof,Interior,29,B3 F05 Int 9203 - Roof Int Shaft Wall Material,Int Shaft Wall Material
Building 3,Roof,Interior,4,B3 F05 Int 9206 - Roof Int Backing ,Int Backing
Building 3,Roof,Interior,67,B3 F05 Int 9250 - Roof Drywall Hang Material,Drywall Hang Material
Building 3,Roof,Interior,12,B3 F05 Int 9270 - Roof Firetape ,Firetape
Building 3,Roof,Interior,26,B3 F05 Int 9280 - Roof Tape Walls ,Tape Walls
Building 4,Floor 01,Ceilings,242,B4 F01 AK 9215 - Bldg 4 FL 01 Ceilings Int Frame Ceili,Int Frame Ceili
Building 4,Floor 01,Ceilings,20,B4 F01 AK 9255 - Bldg 4 FL 01 Ceilings Ceiling Hang La,Ceiling Hang La
Building 4,Floor 01,Ceilings,52,B4 F01 AK 9285 - Bldg 4 FL 01 Ceilings Tape Ceilings L,Tape Ceilings L
Building 4,Floor 02,Ceilings,180,B4 F02 AK 9215 - Bldg 4 FL 02 Ceilings Int Frame Ceili,Int Frame Ceili
Building 4,Floor 02,Ceilings,14,B4 F02 AK 9255 - Bldg 4 FL 02 Ceilings Ceiling Hang La,Ceiling Hang La
Building 4,Floor 02,Ceilings,28,B4 F02 AK 9285 - Bldg 4 FL 02 Ceilings Tape Ceilings L,Tape Ceilings L
Building 4,Floor 03,Ceilings,176,B4 F03 AK 9215 - Bldg 4 FL 03 Ceilings Int Frame Ceili,Int Frame Ceili
Building 4,Floor 03,Ceilings,13,B4 F03 AK 9255 - Bldg 4 FL 03 Ceilings Ceiling Hang La,Ceiling Hang La
Building 4,Floor 03,Ceilings,24,B4 F03 AK 9285 - Bldg 4 FL 03 Ceilings Tape Ceilings L,Tape Ceilings L
Building 4,Floor 04,Ceilings,176,B4 F04 AK 9215 - Bldg 4 FL 04 Ceilings Int Frame Ceili,Int Frame Ceili
Building 4,Floor 04,Ceilings,13,B4 F04 AK 9255 - Bldg 4 FL 04 Ceilings Ceiling Hang La,Ceiling Hang La
Building 4,Floor 04,Ceilings,27,B4 F04 AK 9285 - Bldg 4 FL 04 Ceilings Tape Ceilings L,Tape Ceilings L
General Conditions,,,3659,GC GC GC 0190 - GC GC GC Supervision,Supervision
General Conditions,,,3120,GC GC GC 0195 - GC GC GC Stocker/Scrapper,Stocker/Scrapper
