build,floor,area,hour,full,label
Building 1 North,Floor 02,Area B,12,B1 F02 AB 9200 - N FL 02 Area B Int Int Layou,Int Layou
Building 1 North,Floor 02,Area B,114,B1 F02 AB 9201 - N FL 02 Area B Int Int Frame,Int Frame
Building 1 North,Floor 02,Area B,34,B1 F02 AB 9202 - N FL 02 Area B Int Int Top T,Int Top T
Building 1 North,Floor 02,Area B,24,B1 F02 AB 9206 - N FL 02 Area B Int Int Backi,Int Backi
Building 1 North,Floor 02,Area B,190,B1 F02 AB 9250 - N FL 02 Area B Int Drywall H,Drywall H
Building 1 North,Floor 02,Area B,64,B1 F02 AB 9270 - N FL 02 Area B Int Firetape ,Firetape
Building 1 North,Floor 02,Area B,140,B1 F02 AB 9280 - N FL 02 Area B Int Tape Wall,Tape Wall
Building 1 North,Floor 02,Area B Exterior,5,B1 F02 AF 5390 - N FL 02 Area B Ext Ext ,Ext
Building 1 North,Floor 02,Area B Exterior,58,B1 F02 AF 5400 - N FL 02 Area B Ext Ext Frame,Ext Frame
Building 1 North,Floor 02,Area B Exterior,39,B1 F02 AF 5450 - N FL 02 Area B Ext Sheathing,Sheathing
Building 1 North,Floor 02,Area B Exterior,31,B1 F02 AF 7100 - N FL 02 Area B Ext Ext Insul,Ext Insul
Building 1 North,Floor 02,Area B Exterior,48,B1 F02 AF 9250 - N FL 02 Area B Ext Drywall H,Drywall H
Building 1 North,Floor 02,Area B Exterior,39,B1 F02 AF 9265 - N FL 02 Area B Ext Ext Firet,Ext Firet
Building 1 North,Floor 02,Area B Exterior,14,B1 F02 AF 9270 - N FL 02 Area B Ext Firetape ,Firetape
Building 1 North,Floor 02,Area B Exterior,32,B1 F02 AF 9280 - N FL 02 Area B Ext Tape Wall,Tape Wall
Building 1 North,Floor 03,Area A,17,B1 F03 AA 5400 - N FL 03 Area A Int Ext Frame,Ext Frame
Building 1 North,Floor 03,Area A,82,B1 F03 AA 7200 - N FL 03 Area A Int Int Insul,Int Insul
Building 1 North,Floor 03,Area A,20,B1 F03 AA 9200 - N FL 03 Area A Int Int Layou,Int Layou
Building 1 North,Floor 03,Area A,193,B1 F03 AA 9201 - N FL 03 Area A Int Int Frame,Int Frame
Building 1 North,Floor 03,Area A,57,B1 F03 AA 9202 - N FL 03 Area A Int Int Top T,Int Top T
Building 1 North,Floor 03,Area A,17,B1 F03 AA 9203 - N FL 03 Area A Int Int Shaft,Int Shaft
Building 1 North,Floor 03,Area A,40,B1 F03 AA 9206 - N FL 03 Area A Int Int Backi,Int Backi
Building 1 North,Floor 03,Area A,434,B1 F03 AA 9250 - N FL 03 Area A Int Drywall H,Drywall H
Building 1 North,Floor 03,Area A,109,B1 F03 AA 9270 - N FL 03 Area A Int Firetape ,Firetape
Building 1 North,Floor 03,Area A,264,B1 F03 AA 9280 - N FL 03 Area A Int Tape Wall,Tape Wall
Building 1 North,Floor 03,Area A Exterior,4,B1 F03 AE 5390 - N FL 03 Area A Ext Ext ,Ext
Building 1 North,Floor 03,Area A Exterior,51,B1 F03 AE 5400 - N FL 03 Area A Ext Ext Frame,Ext Frame
Building 1 North,Floor 03,Area A Exterior,35,B1 F03 AE 5450 - N FL 03 Area A Ext Sheathing,Sheathing
Building 1 North,Floor 03,Area A Exterior,28,B1 F03 AE 7100 - N FL 03 Area A Ext Ext Insul,Ext Insul
Building 1 North,Floor 03,Area A Exterior,49,B1 F03 AE 9250 - N FL 03 Area A Ext Drywall H,Drywall H
Building 1 North,Floor 03,Area A Exterior,35,B1 F03 AE 9265 - N FL 03 Area A Ext Ext Firet,Ext Firet
Building 1 North,Floor 03,Area A Exterior,13,B1 F03 AE 9270 - N FL 03 Area A Ext Firetape ,Firetape
Building 1 North,Floor 03,Area A Exterior,28,B1 F03 AE 9280 - N FL 03 Area A Ext Tape Wall,Tape Wall
Building 1 North,Floor 03,Area B,8,B1 F03 AB 5400 - N FL 03 Area B Int Ext Frame,Ext Frame
Building 1 North,Floor 03,Area B,61,B1 F03 AB 7200 - N FL 03 Area B Int Int Insul,Int Insul
Building 1 North,Floor 03,Area B,16,B1 F03 AB 9200 - N FL 03 Area B Int Int Layou,Int Layou
Building 1 North,Floor 03,Area B,175,B1 F03 AB 9201 - N FL 03 Area B Int Int Frame,Int Frame
Building 1 North,Floor 03,Area B,45,B1 F03 AB 9202 - N FL 03 Area B Int Int Top T,Int Top T
Building 1 North,Floor 03,Area B,31,B1 F03 AB 9206 - N FL 03 Area B Int Int Backi,Int Backi
Building 1 North,Floor 03,Area B,248,B1 F03 AB 9250 - N FL 03 Area B Int Drywall H,Drywall H
Building 1 North,Floor 03,Area B,90,B1 F03 AB 9270 - N FL 03 Area B Int Firetape ,Firetape
Building 1 North,Floor 03,Area B,192,B1 F03 AB 9280 - N FL 03 Area B Int Tape Wall,Tape Wall
Building 1 North,Floor 03,Area B Exterior,5,B1 F03 AF 5390 - N FL 03 Area B Ext Ext ,Ext
Building 1 North,Floor 03,Area B Exterior,55,B1 F03 AF 5400 - N FL 03 Area B Ext Ext Frame,Ext Frame
Building 1 North,Floor 03,Area B Exterior,37,B1 F03 AF 5450 - N FL 03 Area B Ext Sheathing,Sheathing
Building 1 North,Floor 03,Area B Exterior,30,B1 F03 AF 7100 - N FL 03 Area B Ext Ext Insul,Ext Insul
Building 1 North,Floor 03,Area B Exterior,12,B1 F03 AF 9201 - N FL 03 Area B Ext Int Frame,Int Frame
Building 1 North,Floor 03,Area B Exterior,46,B1 F03 AF 9250 - N FL 03 Area B Ext Drywall H,Drywall H
Building 1 North,Floor 03,Area B Exterior,37,B1 F03 AF 9265 - N FL 03 Area B Ext Ext Firet,Ext Firet
Building 1 North,Floor 03,Area B Exterior,14,B1 F03 AF 9270 - N FL 03 Area B Ext Firetape ,Firetape
