build,floor,area,hour,full,label
,2nd Floor,Area B & D,14,F2 AB&D 5390 - FL 2 Area B & D Ext Frame Layout,Ext Frame Layout
,2nd Floor,Area B & D,79,F2 AB&D 5400 - FL 2 Area B & D Ext Frame ,Ext Frame
,2nd Floor,Area B & D,30,F2 AB&D 5420 - FL 2 Area B & D Welding,Welding
,2nd Floor,Area B & D,95,F2 AB&D 5450 - FL 2 Area B & D Sheathing ,Sheathing
,2nd Floor,Area B & D,70,F2 AB&D 7100 - FL 2 Area B & D Ext Insulation ,Ext Insulation
,2nd Floor,Area B & D,62,F2 AB&D 7200 - FL 2 Area B & D Int Insulation ,Int Insulation
,2nd Floor,Area B & D,81,F2 AB&D 9200 - FL 2 Area B & D Int Layout,Int Layout
,2nd Floor,Area B & D,408,F2 AB&D 9201 - FL 2 Area B & D Int Frame ,Int Frame
,2nd Floor,Area B & D,102,F2 AB&D 9202 - FL 2 Area B & D Int Top Track ,Int Top Track
,2nd Floor,Area B & D,1,F2 AB&D 9203 - FL 2 Area B & D Int Shaft Wall ,Int Shaft Wall
,2nd Floor,Area B & D,180,F2 AB&D 9206 - FL 2 Area B & D Int Backing ,Int Backing
,2nd Floor,Area B & D,1,F2 AB&D 9215 - FL 2 Area B & D Int Frame Ceilings Lab,Int Frame Ceilings Lab
,2nd Floor,Area B & D,1126,F2 AB&D 9250 - FL 2 Area B & D Drywall Hang ,Drywall Hang
,2nd Floor,Area B & D,0,F2 AB&D 9255 - FL 2 Area B & D Ceiling Hang ,Ceiling Hang
,2nd Floor,Area B & D,87,F2 AB&D 9265 - FL 2 Area B & D Ext Firetape ,Ext Firetape
,2nd Floor,Area B & D,1596,F2 AB&D 9280 - FL 2 Area B & D Tape Walls ,Tape Walls
,2nd Floor,Area B & D,1,F2 AB&D 9285 - FL 2 Area B & D Tape Ceilings ,Tape Ceilings
,2nd Floor,Area B & D,373,F2 AB&D 9450 - FL 2 Area B & D Grid ,Grid
,2nd Floor,Area B & D,187,F2 AB&D 9500 - FL 2 Area B & D Ceiling Tile ,Ceiling Tile
,Door,,1,FD FD 8800 - Door Frames Door Frames Door/Frames/Ha,Door Frames Door Frames Door/Frames/Ha
,Ext,Ext,897,FX AX 5400 - Ext Ext Ext Frame ,Ext Frame
,Ext,Ext,816,FX AX 7200 - Ext Ext Int Insulation ,Int Insulation
,Ext,Ext,1973,FX AX 9215 - Ext Ext Int Frame Ceilings L,Int Frame Ceilings L
,Ext,Ext,1750,FX AX 9255 - Ext Ext Ceiling Hang ,Ceiling Hang
Building 0,Phase 0,General Conditions,2100,B0 F0 A0 0190 - Supervision,Supervision
Building 0,Phase 0,General Conditions,1400,B0 F0 A0 0195 - Stocker Scrapper,Stocker Scrapper
